C rate,Capacity (mAh/g)
0.026660657,110.3507679
0.147634858,99.59563379
0.279775909,96.28596415
0.56639171,85.00023114
0.838583663,75.1222932
1.405766555,57.79181164
2.810928435,25.01356445
