Paper #,Set,tau,n,Q,sigma_tau,sigma_n,sigma_Q
1.0,1.0,0.4856405607765206,1.3025114672218083,106.10901964137607,0.0409993526351678,0.16667121238314458,3.1116912324031523
1.0,1.0,0.4873564785703251,1.1716655420002715,105.11247915311726,0.05206095281845117,0.18099626265703628,3.983500209345884
4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1.0,0.9472680583217554,2.2239192605851543,153.77836522746392,0.006025991899981977,0.03184829736864269,0.41292958676514724
17.0,2.0,0.5298482563064588,2.2441434797220734,151.12482760118806,0.003813524589550215,0.03786337272805688,0.3493684832088014
17.0,3.0,0.2703646303441631,1.8846550158317739,152.60645988876902,0.011258085424605461,0.11742564803593883,0.5183685442380734
19.0,1.0,2.6752521497730133e-06,0.11514113003244304,196.6459735688808,4.112076539800264e-06,0.04133978149938545,19.048499104811206
23.0,1.0,0.09230205102036347,4.669976706649833,127.71669216042348,0.0029322319513635014,0.5646675745058625,1.1714560533300855
23.0,2.0,0.09525889711894613,4.526731586554696,127.90635250134471,0.0025888783809687177,0.4959607087442062,1.237087476840505
27.0,1.0,0.034467247456077744,2.421714022158162,135.23203963164056,0.001512072376558008,0.2827222475762962,1.3323608679203238
31.0,1.0,0.10988126400829214,2.363978264891105,306.75765636109674,0.03338903821409649,1.6254010775543035,56.541682738404845
31.0,2.0,0.09451542185141001,1.4028702891568483,313.6412580593161,0.009626268349422672,0.23328757911654807,14.565563883342545
